Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"Semi Custom","Base Cabinets","Essex Truffle 12"" Drawer Base w/ Utensil Tray & Peg System",KET-DB12UTRY-PS39,"Essex Truffle",68.1,1503,"Essex Truffle 12"" Drawer Base w/ Utensil Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Drawer Base w/ Utensil Tray & Peg System",KET-DB15UTRY-PS39,"Essex Truffle",76.4,1527,"Essex Truffle 15"" Drawer Base w/ Utensil Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Drawer Base w/ Utensil Tray & Peg System",KET-DB18UTRY-PS39,"Essex Truffle",81.2,1574,"Essex Truffle 18"" Drawer Base w/ Utensil Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Drawer Base w/ Utensil Tray & Peg System",KET-DB21UTRY-PS39,"Essex Truffle",87.6,1632,"Essex Truffle 21"" Drawer Base w/ Utensil Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 24"" Drawer Base w/ Utensil Tray & Peg System",KET-DB24UTRY-PS39,"Essex Truffle",93.2,1699,"Essex Truffle 24"" Drawer Base w/ Utensil Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Drawer Base w/ Cutlery Tray & Peg System",KET-DB18CTRY-PS39,"Essex Truffle",83.2,1502,"Essex Truffle 18"" Drawer Base w/ Cutlery Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Drawer Base w/ Cutlery Tray & Peg System",KET-DB15CTRY-PS39,"Essex Truffle",78.4,1455,"Essex Truffle 15"" Drawer Base w/ Cutlery Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Drawer Base w/ Cutlery Tray & Peg System",KET-DB12CTRY-PS39,"Essex Truffle",70.1,1431,"Essex Truffle 12"" Drawer Base w/ Cutlery Tray & Peg System",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Drawer Base w/ Spice Tray",KET-DB12STRY,"Essex Truffle",67.1,1156,"Essex Truffle 12"" Drawer Base w/ Spice Tray",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Drawer Base w/ Spice Tray",KET-DB15STRY,"Essex Truffle",75.4,1180,"Essex Truffle 15"" Drawer Base w/ Spice Tray",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Drawer Base w/ Spice Tray",KET-DB18STRY,"Essex Truffle",80.2,1227,"Essex Truffle 18"" Drawer Base w/ Spice Tray",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Drawer Base w/ Spice Tray",KET-DB21STRY,"Essex Truffle",86.6,1285,"Essex Truffle 21"" Drawer Base w/ Spice Tray",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 12"" Drawer Base w/ Spice Tray & Peg System",KET-DB12STRY-PS39,"Essex Truffle",70.1,1548,"Essex Truffle 12"" Drawer Base w/ Spice Tray & Peg System",,,100,20
