Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W3030GD,"Shaker Gray",56,555.6,"Glass Door Cabinet - Double Door",,W3030GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W3036,"Shaker Gray",68,554.4,"36"" Wall Cabinet Double Door - 2 Shelves",,W3036.PNG,95,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W3036GD,"Shaker Gray",63,644.4,"Glass Wall Door Cabinet - Double Door",,W3036GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W3042,"Shaker Gray",80,657.6,"42"" High Cabinet Double Door - 3 Shelves",,W3042.PNG,96,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W3042GD,"Shaker Gray",75,738,"Glass Door Cabinet - Double Door",,W3042GD.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W3312,"Shaker Gray",32,288,"33"" Bridge Cabinet",,W3012.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W331224,"Shaker Gray",34,370.8,"30"" Refrigerator Wall Cabinet",,W331224.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W3312GD,"Shaker Gray",24,315.6,"Glass Door Cabinet - Double Door",,W3312GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3315,"Shaker Gray",28,318,"33"" Wall Bridge Cabinet",,W3315.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W331524,"Shaker Gray",37,400.8,"33"" Wall Refrigerator Cabinet",,W331524.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3318,"Shaker Gray",32,348,"33"" Wall Bridge Cabinet",,W331824.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W331824,"Shaker Gray",41,435.6,"30"" Refrigerator Wall Cabinet",,W331824.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3324,"Shaker Gray",33,418.8,"33"" Wall Bridge Cabinet",,W332424.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W332424,"Shaker Gray",56,555.6,"33"" W Refrigerator Cabinet",,W332424.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W3330,"Shaker Gray",65,530.4,"30"" High Cabinet 2 Doors, - 2 Shelves",,W3330.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W3336,"Shaker Gray",73,604.8,"36"" High Cabinet 2 Doors, - 2 Shelves",,W3336.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W3342,"Shaker Gray",85,699.6,"42"" High Cabinet 2 Doors - 3 Shelves",,W3342.PNG,96,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3612,"Shaker Gray",34,306,"36"" W Bridge Cabinet",,W3612.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W361224,"Shaker Gray",48,390,"36"" Refrigerator Wall Cabinet",,W361224.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W3612GD,"Shaker Gray",28,334.8,"Glass Door Cabinet - Double Door",,W3612GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3615,"Shaker Gray",30,337.2,"36"" Wall Bridge Cabinet",,W3615.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W361524,"Shaker Gray",43,423.6,"36"" Refrigerator Wall Cabinet",,W361524.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3618,"Shaker Gray",35,361.2,"36"" Wall Bridge Cabinet",,W3618.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W361824,"Shaker Gray",53,445.2,"36"" Refrigerator Wall Cabinet",,W361824.PNG,97,20
"TEAM CABINETS","Wall Cabinets","Bridge Cabinet",SG-W3624,"Shaker Gray",35,450,"36"" Wall Bridge Cabinet",,W3624.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Refrigerator Wall Cabinet",SG-W362424,"Shaker Gray",63,595.2,"36"" Wall Refrigerator Cabinet",,W362424.PNG,94,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W3630,"Shaker Gray",69,565.2,"30"" High Cabinet 2 Doors, - 2 Shelves",,W3630.PNG,96,20
